listing_id,entire_home_or_apt,year-month,season,percentage_of_nights_available
1539452,True,2023-05,Spring-23,1.0
1539452,True,2023-06,Summer-23,0.9
1539452,True,2023-07,Summer-23,1.0
1539452,True,2023-08,Summer-23,0.935
1539452,True,2023-09,Fall-23,1.0
1539452,True,2023-10,Fall-23,1.0
1539452,True,2023-11,Fall-23,1.0
1539452,True,2023-12,Winter-23,1.0
1539452,True,2024-01,Winter-24,1.0
1539452,True,2024-02,Winter-24,1.0
1539452,True,2024-03,Spring-24,1.0
1542659,True,2023-03,Spring-23,0.556
1542659,True,2023-04,Spring-23,0.767
1542659,True,2023-05,Spring-23,0.903
1542659,True,2023-06,Summer-23,0.767
1542659,True,2023-07,Summer-23,1.0
1542659,True,2023-08,Summer-23,1.0
1542659,True,2023-09,Fall-23,0.867
1542659,True,2023-10,Fall-23,1.0
1542659,True,2023-11,Fall-23,1.0
1542659,True,2023-12,Winter-23,1.0
1542659,True,2024-01,Winter-24,1.0
1542659,True,2024-02,Winter-24,1.0
1542659,True,2024-03,Spring-24,1.0
1560267,False,2023-03,Spring-23,0.222
1560267,False,2023-04,Spring-23,0.133
1560267,False,2023-05,Spring-23,0.71
1560267,False,2023-06,Summer-23,0.233
1560267,False,2023-07,Summer-23,0.742
1560267,False,2023-08,Summer-23,0.032
1560267,False,2023-09,Fall-23,0.533
1560267,False,2023-10,Fall-23,0.871
1560267,False,2023-11,Fall-23,0.833
1560267,False,2023-12,Winter-23,1.0
1560267,False,2024-01,Winter-24,1.0
1560267,False,2024-02,Winter-24,1.0
1560267,False,2024-03,Spring-24,1.0
1584433,False,2023-03,Spring-23,0.0
1584433,False,2023-04,Spring-23,0.067
1584433,False,2023-05,Spring-23,0.0
1584433,False,2023-06,Summer-23,0.0
1584433,False,2023-07,Summer-23,0.0
1584433,False,2023-08,Summer-23,1.0
1584433,False,2023-09,Fall-23,1.0
1584433,False,2023-10,Fall-23,1.0
1584433,False,2023-11,Fall-23,1.0
1584433,False,2023-12,Winter-23,1.0
1584433,False,2024-01,Winter-24,1.0
1584433,False,2024-02,Winter-24,1.0
1584433,False,2024-03,Spring-24,1.0
1625075,True,2023-03,Spring-23,0.222
1625075,True,2023-04,Spring-23,0.5
1625075,True,2023-05,Spring-23,0.968
1625075,True,2023-06,Summer-23,0.533
1625075,True,2023-07,Summer-23,0.0
1625075,True,2023-08,Summer-23,0.0
1625075,True,2023-09,Fall-23,0.0
1625075,True,2023-10,Fall-23,0.0
1625075,True,2023-11,Fall-23,0.0
1625075,True,2023-12,Winter-23,0.0
1625075,True,2024-01,Winter-24,0.0
1625075,True,2024-02,Winter-24,0.0
1625075,True,2024-03,Spring-24,0.0
1641735,False,2023-03,Spring-23,0.0
1641735,False,2023-04,Spring-23,0.0
1641735,False,2023-05,Spring-23,0.0
1641735,False,2023-06,Summer-23,0.0
1641735,False,2023-07,Summer-23,0.0
1641735,False,2023-08,Summer-23,0.0
1641735,False,2023-09,Fall-23,0.0
1641735,False,2023-10,Fall-23,0.0
1641735,False,2023-11,Fall-23,0.0
1641735,False,2023-12,Winter-23,0.0
1641735,False,2024-01,Winter-24,0.839
1641735,False,2024-02,Winter-24,1.0
1641735,False,2024-03,Spring-24,1.0
1641774,False,2023-03,Spring-23,1.0
1641774,False,2023-04,Spring-23,1.0
1641774,False,2023-05,Spring-23,1.0
1641774,False,2023-06,Summer-23,1.0
1641774,False,2023-07,Summer-23,1.0
1641774,False,2023-08,Summer-23,1.0
1641774,False,2023-09,Fall-23,1.0
1641774,False,2023-10,Fall-23,1.0
1641774,False,2023-11,Fall-23,1.0
1641774,False,2023-12,Winter-23,1.0
1641774,False,2024-01,Winter-24,1.0
1641774,False,2024-02,Winter-24,1.0
1641774,False,2024-03,Spring-24,1.0
1646310,True,2023-03,Spring-23,0.0
1646310,True,2023-04,Spring-23,0.233
1646310,True,2023-05,Spring-23,1.0
1646310,True,2023-06,Summer-23,1.0
1646310,True,2023-07,Summer-23,1.0
1646310,True,2023-08,Summer-23,1.0
1646310,True,2023-09,Fall-23,1.0
1646310,True,2023-10,Fall-23,1.0
1646310,True,2023-11,Fall-23,1.0
1646310,True,2023-12,Winter-23,1.0
1646310,True,2024-01,Winter-24,1.0
1646310,True,2024-02,Winter-24,1.0
1646310,True,2024-03,Spring-24,1.0
1646847,True,2023-03,Spring-23,0.667
1646847,True,2023-04,Spring-23,1.0
1646847,True,2023-05,Spring-23,1.0
1646847,True,2023-06,Summer-23,1.0
1646847,True,2023-07,Summer-23,1.0
1646847,True,2023-08,Summer-23,1.0
1646847,True,2023-09,Fall-23,0.6
1646847,True,2023-10,Fall-23,0.0
1646847,True,2023-11,Fall-23,0.0
1646847,True,2023-12,Winter-23,0.0
